#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-10,0.0927562700704029,-0.226989532326136
-9.9975,-0.180305574759142,-10.9959124716181
-9.995,-0.127041659347947,-11.0029372093476
-9.9925,-0.120299391574378,-11.0029372093476
-9.99,-0.171877740042181,-10.9959124716181
-9.9875,-0.118613824630986,-11.0029372093476
-9.985,-0.184013822034605,-10.9924001027534
-9.9825,-0.131087020012089,-11.0029372093476
-9.98,-0.135469494064908,-11.0029372093476
-9.9775,-0.179968461370464,-10.9924001027534
-9.975,-0.131424133400767,-11.0029372093476
-9.9725,-0.14592000911394,-10.9994248404828
-9.97,-0.134458153898873,-11.0029372093476
-9.9675,-0.122322071906449,-11.0029372093476
-9.965,-0.1981725843591,-10.9888877338886
-9.9625,-0.126704545959269,-11.0029372093476
-9.96,-0.1590674312724,-10.9959124716181
-9.9575,-0.140189081506407,-10.9994248404828
-9.955,-0.135469494064908,-10.9994248404828
-9.9525,-0.173226193596895,-10.9959124716181
-9.95,-0.122659185295127,-11.0029372093476
-9.9475,-0.137829287785658,-11.0029372093476
-9.945,-0.156707637551651,-10.9959124716181
-9.9425,-0.137492174396979,-10.9994248404828
-9.94,-0.189070522864782,-10.9924001027534
-9.9375,-0.125018979015876,-11.0029372093476
-9.935,-0.136480834230944,-11.0029372093476
-9.9325,-0.159404544661079,-10.9959124716181
-9.93,-0.120299391574378,-11.0029372093476
-9.9275,-0.174574647151609,-10.9959124716181
-9.925,-0.124681865627198,-11.0029372093476
-9.9225,-0.139851968117728,-11.0029372093476
-9.92,-0.183339595257249,-10.9924001027534
-9.9175,-0.126704545959269,-11.0029372093476
-9.915,-0.16344990532522,-10.9959124716181
-9.9125,-0.129401453068696,-11.0029372093476
-9.91,-0.114231350578166,-11.0064495782123
-9.9075,-0.189070522864782,-10.9924001027534
-9.905,-0.118613824630986,-11.0029372093476
-9.9025,-0.164461245491255,-10.9959124716181
-9.9,-0.138840627951693,-10.9994248404828
-9.8975,-0.131424133400767,-11.0029372093476
-9.895,-0.186373615755355,-10.9924001027534
-9.8925,-0.125356092404555,-11.0029372093476
-9.89,-0.129064339680018,-11.0029372093476
-9.8875,-0.14827980283469,-10.9994248404828
-9.885,-0.117265371076272,-11.0064495782123
-9.8825,-0.195812790638351,-10.9924001027534
-9.88,-0.124681865627198,-11.0029372093476
-9.8775,-0.138840627951693,-10.9994248404828
-9.875,-0.161764338381828,-10.9959124716181
-9.8725,-0.13513238067623,-11.0029372093476
-9.87,-0.157718977717686,-10.9959124716181
-9.8675,-0.126704545959269,-11.0029372093476
-9.865,-0.120299391574378,-11.0029372093476
-9.8625,-0.182665368479892,-10.9924001027534
-9.86,-0.132772586955481,-11.0029372093476
-9.8575,-0.170866399876146,-10.9959124716181
-9.855,-0.128390112902661,-11.0029372093476
-9.8525,-0.129738566457375,-11.0029372093476
-9.85,-0.171540626653503,-10.9959124716181
-9.8475,-0.117602484464951,-11.0029372093476
-9.845,-0.151650936721474,-10.9994248404828
-9.8425,-0.139177741340371,-10.9994248404828
-9.84,-0.132435473566802,-11.0029372093476
-9.8375,-0.193790110306281,-10.9924001027534
-9.835,-0.12198495851777,-11.0029372093476
-9.8325,-0.145582895725262,-10.9994248404828
-9.83,-0.143560215393191,-10.9994248404828
-9.8275,-0.116254030910237,-11.0064495782123
-9.825,-0.18300248186857,-10.9924001027534
-9.8225,-0.120299391574378,-11.0029372093476
-9.82,-0.14827980283469,-10.9994248404828
-9.8175,-0.165472585657291,-10.9959124716181
-9.815,-0.130412793234732,-11.0029372093476
-9.8125,-0.173900420374252,-10.9959124716181
-9.81,-0.12636743257059,-11.0029372093476
-9.8075,-0.115242690744201,-11.0064495782123
-9.805,-0.179294234593107,-10.9924001027534
-9.8025,-0.123333412072484,-11.0029372093476
-9.8,-0.174911760540287,-10.9959124716181
-9.7975,-0.131424133400767,-11.0029372093476
-9.795,-0.131761246789446,-11.0029372093476
-9.7925,-0.181991141702535,-10.9924001027534
-9.79,-0.126704545959269,-11.0029372093476
-9.7875,-0.136480834230944,-11.0029372093476
-9.785,-0.138840627951693,-10.9994248404828
-9.7825,-0.117939597853629,-11.0064495782123
-9.78,-0.195475677249673,-10.9924001027534
-9.7775,-0.125693205793233,-11.0029372093476
-9.775,-0.151988050110153,-10.9994248404828
-9.7725,-0.147268462668654,-10.9994248404828
-9.77,-0.135469494064908,-11.0029372093476
-9.7675,-0.164798358879934,-10.9959124716181
-9.765,-0.122659185295127,-11.0204990536713
-9.7625,-0.130075679846053,-11.0029372093476
-9.76,-0.170529286487467,-10.9924001027534
-9.7575,-0.131424133400767,-11.0029372093476
-9.755,-0.176934440872358,-10.9959124716181
-9.7525,-0.125356092404555,-11.0029372093476
-9.75,-0.132098360178124,-11.0029372093476
-9.7475,-0.170192173098789,-10.9959124716181
-9.745,-0.120636504963057,-11.0029372093476
-9.7425,-0.160415884827114,-10.9959124716181
-9.74,-0.129738566457375,-11.0029372093476
-9.7375,-0.136480834230944,-11.0029372093476
-9.735,-0.192441656751567,-10.9924001027534
-9.7325,-0.125356092404555,-11.0029372093476
-9.73,-0.153336503664866,-10.9994248404828
-9.7275,-0.134458153898873,-11.0029372093476
-9.725,-0.114231350578166,-11.0064495782123
-9.7225,-0.188059182698747,-10.9924001027534
-9.72,-0.119288051408343,-11.0029372093476
-9.7175,-0.154010730442223,-10.9994248404828
-9.715,-0.154010730442223,-10.9994248404828
-9.7125,-0.130412793234732,-11.0029372093476
-9.71,-0.180642688147821,-10.9924001027534
-9.7075,-0.122322071906449,-11.0029372093476
-9.705,-0.120299391574378,-11.0029372093476
-9.7025,-0.166146812434648,-10.9959124716181
-9.7,-0.120973618351735,-11.0029372093476
-9.6975,-0.18738495592139,-10.9924001027534
-9.695,-0.126704545959269,-11.0029372093476
-9.6925,-0.134121040510195,-11.0029372093476
-9.69,-0.17659732748368,-10.9924001027534
-9.6875,-0.131761246789446,-11.0029372093476
-9.685,-0.147268462668654,-10.9994248404828
-9.6825,-0.134458153898873,-11.0029372093476
-9.68,-0.119288051408343,-11.0029372093476
-9.6775,-0.196824130804387,-10.9888877338886
-9.675,-0.131761246789446,-11.0029372093476
-9.6725,-0.161427224993149,-10.9959124716181
-9.67,-0.136817947619622,-10.9994248404828
-9.6675,-0.132435473566802,-11.0029372093476
-9.665,-0.17423753376293,-10.9959124716181
-9.6625,-0.12198495851777,-11.0029372093476
-9.66,-0.139851968117728,-10.9994248404828
-9.6575,-0.152999390276188,-10.9994248404828
-9.655,-0.133446813732838,-11.0029372093476
-9.6525,-0.192104543362888,-10.9924001027534
-9.65,-0.122996298683806,-11.0029372093476
-9.6475,-0.136143720842265,-11.0029372093476
-9.645,-0.157044750940329,-10.9994248404828
-9.6425,-0.116591144298915,-11.0064495782123
-9.64,-0.17221485343086,-10.9959124716181
-9.6375,-0.123670525461163,-11.0029372093476
-9.635,-0.141200421672442,-11.0029372093476
-9.6325,-0.178957121204429,-10.9959124716181
-9.63,-0.129738566457375,-11.0029372093476
-9.6275,-0.166146812434648,-10.9959124716181
-9.625,-0.128727226291339,-11.0029372093476
-9.6225,-0.112882897023452,-11.0064495782123
-9.62,-0.184013822034605,-10.9924001027534
-9.6175,-0.117602484464951,-11.0064495782123
-9.615,-0.170192173098789,-10.9959124716181
-9.6125,-0.139851968117728,-10.9994248404828
-9.61,-0.132098360178124,-11.0029372093476
-9.6075,-0.185362275589319,-10.9924001027534
-9.605,-0.126030319181912,-11.0029372093476
-9.6025,-0.131087020012089,-11.0029372093476
-9.6,-0.146931349279976,-10.9994248404828
-9.5975,-0.121310731740414,-11.0029372093476
-9.595,-0.195475677249673,-10.9888877338886
-9.5925,-0.12636743257059,-11.0029372093476
-9.59,-0.143223102004513,-10.9994248404828
-9.5875,-0.156370524162972,-10.9959124716181
-9.585,-0.131087020012089,-11.0029372093476
-9.5825,-0.156370524162972,-10.9994248404828
-9.58,-0.125018979015876,-11.0029372093476
-9.5775,-0.126704545959269,-11.0029372093476
-9.575,-0.182328255091213,-10.9924001027534
-9.5725,-0.130412793234732,-11.0029372093476
-9.57,-0.169180832932754,-10.9959124716181
-9.5675,-0.128052999513983,-11.0029372093476
-9.565,-0.129401453068696,-11.0029372093476
-9.5625,-0.173226193596895,-10.9959124716181
-9.56,-0.118950938019664,-11.0029372093476
-9.5575,-0.149965369778082,-10.9994248404828
-9.555,-0.13513238067623,-11.0029372093476
-9.5525,-0.136480834230944,-11.0029372093476
-9.55,-0.193452996917602,-10.9924001027534
-9.5475,-0.124681865627198,-11.0064495782123
-9.545,-0.14592000911394,-10.9994248404828
-9.5425,-0.142885988615834,-10.9994248404828
-9.54,-0.116591144298915,-11.0064495782123
-9.5375,-0.184013822034605,-10.9924001027534
-9.535,-0.118613824630986,-11.0064495782123
-9.5325,-0.147268462668654,-10.9994248404828
-9.53,-0.165809699045969,-10.9959124716181
-9.5275,-0.130075679846053,-11.0029372093476
-9.525,-0.171877740042181,-10.9959124716181
-9.5225,-0.121310731740414,-11.0064495782123
-9.52,-0.112882897023452,-11.0064495782123
-9.5175,-0.175585987317644,-10.9959124716181
-9.515,-0.117602484464951,-11.0064495782123
-9.5125,-0.17659732748368,-10.9959124716181
-9.51,-0.129738566457375,-11.0029372093476
-9.5075,-0.131761246789446,-11.0029372093476
-9.505,-0.181654028313856,-10.9924001027534
-9.5025,-0.12636743257059,-11.0029372093476
-9.5,-0.137155061008301,-11.0029372093476
-9.4975,-0.134458153898873,-11.0029372093476
-9.495,-0.119625164797021,-11.0029372093476
-9.4925,-0.199183924525136,-10.9888877338886
