239,-4.70125,3.774
240,-4.7,3.784
241,-4.69875,3.796
242,-4.6975,3.802
243,-4.69625,3.812
244,-4.695,3.824
245,-4.69375,3.83
246,-4.6925,3.842
247,-4.69125,3.848
248,-4.69,3.858
249,-4.68875,3.866
250,-4.6875,3.88
251,-4.68625,3.89
252,-4.685,3.902
253,-4.68375,3.908
254,-4.6825,3.92
255,-4.68125,3.93
256,-4.68,3.938
257,-4.67875,3.948
258,-4.6775,3.962
259,-4.67625,3.968
260,-4.675,3.98
261,-4.67375,3.994
262,-4.6725,4.004
263,-4.67125,4.016
264,-4.67,4.022
265,-4.66875,4.032
266,-4.6675,4.044
267,-4.66625,4.054
268,-4.665,4.064
269,-4.66375,4.072
270,-4.6625,4.082
271,-4.66125,4.094
272,-4.66,4.104
273,-4.65875,4.114
274,-4.6575,4.122
275,-4.65625,4.132
276,-4.655,4.142
277,-4.65375,4.154
278,-4.6525,4.164
279,-4.65125,4.174
280,-4.65,4.186
281,-4.64875,4.196
282,-4.6475,4.206
283,-4.64625,4.214
284,-4.645,4.224
285,-4.64375,4.236
286,-4.6425,4.242
287,-4.64125,4.252
288,-4.64,4.268
289,-4.63875,4.274
290,-4.6375,4.282
291,-4.63625,4.296
292,-4.635,4.302
293,-4.63375,4.314
294,-4.6325,4.324
295,-4.63125,4.334
296,-4.63,4.346
297,-4.62875,4.356
298,-4.6275,4.362
299,-4.62625,4.374
300,-4.625,4.384
301,-4.62375,4.394
302,-4.6225,4.406
303,-4.62125,4.416
304,-4.62,4.426
305,-4.61875,4.434
306,-4.6175,4.444
307,-4.61625,4.456
308,-4.615,4.466
309,-4.61375,4.476
310,-4.6125,4.488
311,-4.61125,4.494
312,-4.61,4.504
313,-4.60875,4.52
314,-4.6075,4.526
315,-4.60625,4.536
316,-4.605,4.548
317,-4.60375,4.554
318,-4.6025,4.566
319,-4.60125,4.576
320,-4.6,4.586
321,-4.59875,4.598
322,-4.5975,4.604
323,-4.59625,4.616
324,-4.595,4.63
325,-4.59375,4.636
326,-4.5925,4.646
327,-4.59125,4.654
328,-4.59,4.668
329,-4.58875,4.678
330,-4.5875,4.686
331,-4.58625,4.696
332,-4.585,4.708
333,-4.58375,4.718
334,-4.5825,4.726
335,-4.58125,4.736
336,-4.58,4.746
337,-4.57875,4.76
338,-4.5775,4.768
339,-4.57625,4.778
340,-4.575,4.786
